file,line_number,issue_type,severity,description,suggested_fix,fix_applied,page_url
src\app\vendor-portal\page.tsx,709,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\ActivityFeed.tsx,117,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\ComposeSMSModal.tsx,156,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\ComposeSMSModal.tsx,146,accessibility,medium,<div> with onClick but no ARIA role,"Add role=""button"" and onKeyDown handler, or use <button>",False,
src\components\EndLeaseModal.tsx,61,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\IncomeCertificationModal.tsx,263,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\MaintenanceTicketModal.tsx,110,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\MoveLeaseModal.tsx,135,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\PostRentModal.tsx,74,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\ReconciliationDrawer.tsx,99,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\TenantAI.tsx,316,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\TenantCheck.tsx,20,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\components\TenantCheck.tsx,21,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
